date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2020-05-01,8.41,WA,"Kennewick-Richland, WA",Kennewick
2020-06-01,10.61,WA,"Kennewick-Richland, WA",Kennewick
2020-07-01,11.41,WA,"Kennewick-Richland, WA",Kennewick
2020-08-01,10.86,WA,"Kennewick-Richland, WA",Kennewick
2020-09-01,13.11,WA,"Kennewick-Richland, WA",Kennewick
2020-10-01,13.63,WA,"Kennewick-Richland, WA",Kennewick
2020-11-01,11.76,WA,"Kennewick-Richland, WA",Kennewick
2020-12-01,13.61,WA,"Kennewick-Richland, WA",Kennewick
2021-01-01,14.43,WA,"Kennewick-Richland, WA",Kennewick
2021-02-01,16.17,WA,"Kennewick-Richland, WA",Kennewick
2021-03-01,16.29,WA,"Kennewick-Richland, WA",Kennewick
2021-04-01,16.35,WA,"Kennewick-Richland, WA",Kennewick
2021-05-01,15.15,WA,"Kennewick-Richland, WA",Kennewick
2021-06-01,16.15,WA,"Kennewick-Richland, WA",Kennewick
2021-07-01,17.28,WA,"Kennewick-Richland, WA",Kennewick
2021-08-01,24.23,WA,"Kennewick-Richland, WA",Kennewick
2021-09-01,24.48,WA,"Kennewick-Richland, WA",Kennewick
2021-10-01,28.76,WA,"Kennewick-Richland, WA",Kennewick
2021-11-01,28.46,WA,"Kennewick-Richland, WA",Kennewick
2017-07-01,4.61,VA,"Charlottesville, VA",Charlottesville
2017-08-01,2.34,VA,"Charlottesville, VA",Charlottesville
2017-09-01,0.98,VA,"Charlottesville, VA",Charlottesville
2017-10-01,1.31,VA,"Charlottesville, VA",Charlottesville
2017-11-01,2.11,VA,"Charlottesville, VA",Charlottesville
2017-12-01,0.94,VA,"Charlottesville, VA",Charlottesville
2018-01-01,-0.72,VA,"Charlottesville, VA",Charlottesville
2018-02-01,-0.98,VA,"Charlottesville, VA",Charlottesville
2018-03-01,0.61,VA,"Charlottesville, VA",Charlottesville
2018-04-01,0.06,VA,"Charlottesville, VA",Charlottesville
2018-05-01,0.24,VA,"Charlottesville, VA",Charlottesville
2018-06-01,0.44,VA,"Charlottesville, VA",Charlottesville
2018-07-01,0.99,VA,"Charlottesville, VA",Charlottesville
2018-08-01,1.77,VA,"Charlottesville, VA",Charlottesville
2018-09-01,2.44,VA,"Charlottesville, VA",Charlottesville
