date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-04-01,-30.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-05-01,-32.06,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-06-01,-36.24,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-07-01,-43.02,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-08-01,-41.11,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-09-01,-42.45,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-10-01,-45.69,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-11-01,-39.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-12-01,-38.06,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-01-01,-49.17,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-02-01,-62.15,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-03-01,-62.92,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-04-01,-55.84,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-05-01,-60.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-06-01,-48.79,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-07-01,-25.93,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-08-01,-12.58,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-09-01,-1.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-10-01,-10.19,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2021-11-01,-18.72,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2017-07-01,-14.55,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Price Reduced Count Year-Over-Year in Kennewick-Richland, WA (CBSA)",PRIREDCOUYY28420,Monthly,Not Seasonally Adjusted
2017-08-01,15.79,WA,"Kennewick-Richland, WA",Kennewick,"Housing Inventory: Price Reduced Count Year-Over-Year in Kennewick-Richland, WA (CBSA)",PRIREDCOUYY28420,Monthly,Not Seasonally Adjusted
